74 1700 0.701250 0.085250
1849 1774 0.046500 0.292750
1816 1650 0.581750 0.054500
255 1797 0.601750 0.154750
339 367 0.332750 0.072000
184 469 0.306000 0.034000
767 1146 0.073250 0.295500
64 950 0.023250 0.348000
1378 1722 0.013250 0.183750
94 1855 0.980500 0.036250
236 1388 0.037250 0.154000
1367 1322 0.169750 0.119750
1639 1681 0.338500 0.027250
1010 494 0.015000 1.006750
1195 776 0.053000 0.411250
485 1722 0.052750 0.436000
262 1301 0.446500 0.291250
728 1722 0.084000 0.241000
1232 1724 0.225250 0.114500
847 1988 0.284500 0.034000
470 329 0.510000 0.208750
94 7 0.361000 0.190750
494 494 0.061500 0.095500
1722 46 0.016750 0.622500
1365 1908 0.349000 0.073750
1302 1030 0.805000 0.066250
1422 204 0.028000 0.716500
1953 781 0.271250 0.018000
589 78 0.094000 0.224250
1891 1039 0.070250 0.167000
1537 396 0.091000 0.269500
511 1763 0.031750 0.935000
94 1225 0.761500 0.016250
1067 1756 0.527000 0.163750
1938 567 0.013250 0.401750
1590 1988 0.015000 0.733750
1741 1621 0.138500 0.315500
73 713 0.093250 0.499500
1378 1722 0.111000 0.307500
494 494 0.065000 0.038750
73 713 0.123750 0.494750
337 1538 0.060000 0.516250
1793 1442 0.110250 0.380750
1820 1746 0.084250 0.022000
1152 1411 0.204500 0.132750
541 1550 0.279000 0.137500
877 61 0.082750 0.146750
1674 1331 0.511500 0.445750
106 215 0.643000 0.013250
1322 1404 0.021250 0.755250
552 938 0.075500 0.150250
391 875 0.940500 0.125500
620 165 0.029250 0.786750
376 1036 0.534500 0.392250
1745 175 0.057000 0.565500
226 1192 0.213500 0.042750
1788 661 0.023000 0.116000
609 227 0.180750 0.125250
747 1841 0.037000 0.652750
1387 874 0.251250 0.158500
1479 575 0.825250 0.056750
897 635 0.078750 0.122250
1845 1523 0.085000 0.266750
718 472 0.159500 0.093500
1202 1659 0.087000 0.345000
302 1293 0.103000 0.088250
946 1629 0.041000 0.076500
890 1797 0.071500 0.617500
524 1588 0.566750 0.073250
163 1717 0.199500 0.126000
1507 299 0.665250 0.045500
1999 1160 0.196000 0.108500
195 1046 0.431500 0.100500
813 1192 0.041000 0.281500
1407 777 0.240500 0.053750
898 430 0.188000 0.131500
1283 1311 0.037750 0.637250
813 1504 0.034500 0.170750
661 1629 0.040750 0.178000
1110 1256 0.161750 0.255000
15 396 0.184250 0.150000
1824 1306 0.291250 0.096000
877 382 0.344750 0.142000
128 1858 0.384250 0.016750
1277 7 0.075250 0.225750
1067 1955 0.059250 0.531500
527 1918 0.058250 0.208500
1638 105 0.559000 0.073750
255 738 0.670500 0.032750
285 114 0.120250 0.316750
1424 1263 0.014000 0.023500
553 1940 0.190250 0.249750
1820 1404 0.086500 0.254250
620 1297 0.067750 0.644500
1934 1055 0.794000 0.107000
1086 899 0.154500 0.335750
744 1407 0.106000 0.157750
1638 1998 0.058250 0.376500
1955 856 0.355500 0.021000
226 326 0.768250 0.046250
867 1543 0.804000 0.015750
1454 1940 0.121000 0.456750
713 414 0.464000 0.033250
742 1367 0.190750 0.044750
1693 1724 0.117750 0.229500
25 1103 0.162750 0.306500
1774 1458 0.103500 0.042750
1560 833 0.176000 0.175000
1087 920 0.327500 0.254250
1189 803 0.661000 0.028000
1035 391 0.060250 0.945500
916 1306 0.758250 0.022750
1829 896 0.104750 0.083500
1585 1107 0.173000 0.440750
1597 391 0.036750 0.209500
1841 501 0.210500 0.165250
552 1650 0.227500 0.103250
1923 1221 0.579750 0.362500
1554 1491 0.024250 0.353250
688 1207 0.014500 0.900500
501 585 0.137750 0.063000
803 888 0.044750 0.176500
396 828 0.078000 0.601750
1221 784 0.263500 0.784000
657 1255 0.113000 0.284500
232 66 0.095250 0.156500
897 874 0.049750 0.106500
563 329 0.330000 0.388250
1746 409 0.103500 0.062500
786 805 0.472750 0.013000
1995 1442 0.248250 0.499250
18 1093 0.393500 0.117000
308 1746 0.943500 0.014000
1905 472 0.254750 0.403500
64 1272 0.180000 0.157250
1804 1479 0.115250 0.120250
1021 240 0.016000 0.134250
1701 1425 0.145750 0.354500
653 874 0.234000 0.184750
1445 964 0.146750 0.286500
1302 291 0.444000 0.015250
1176 100 0.073250 0.308500
1817 39 0.297000 0.288000
1495 997 0.039000 0.421750
1965 382 0.344250 0.106000
1623 941 0.870750 0.015500
395 1073 0.247250 0.135750
430 807 0.323000 0.504000
540 1173 0.328500 0.163250
821 141 0.044000 0.461500
1087 1829 0.237000 0.109000
1538 861 0.892000 0.031750
1192 1301 0.113250 0.053500
415 1781 0.012500 0.781000
377 1888 0.062500 0.114250
1058 358 0.200000 0.032250
999 235 0.031250 0.686500
1659 1297 0.070250 0.639750
481 642 0.029250 0.688500
821 384 0.082750 0.111500
511 786 0.036750 0.663000
1411 591 0.184000 0.143750
898 95 0.138250 0.216250
1011 1506 0.080500 0.296750
1409 1273 0.081500 0.186000
1093 1404 0.113250 0.580750
1259 394 0.090000 0.129250
1543 47 0.054000 0.326000
645 1642 0.040750 0.387750
874 260 0.268000 0.430500
1096 153 0.869250 0.127750
1232 136 0.261500 0.371250
1055 526 0.167250 0.122500
1588 1562 0.023250 0.713500
1872 1453 0.328750 0.086250
1858 1232 0.086000 0.370000
527 153 0.229250 0.336000
1417 47 0.208000 0.055000
1888 850 0.123500 0.071000
1322 133 0.051500 0.466750
1485 877 0.560250 0.094500
1724 1538 0.071750 0.450500
1980 382 0.302250 0.194500
